,Company,TypeName,Ram,OpSys,Weight,Price_euros,Screen,IPS_Screen,Screen_PPI,Cpu_brand,HDD,SSD,Gpu_brand,os
0,Apple,Ultrabook,8,macOS,1.37,1339.69,NormalScreen,Yes,226.9830047,Intel Core i5,0,128,Intel,Mac
1,Apple,Ultrabook,8,macOS,1.34,898.94,NormalScreen,No,127.6779401,Intel Core i5,0,0,Intel,Mac
2,HP,Notebook,8,No OS,1.86,575.0,NormalScreen,No,141.2119981,Intel Core i5,0,256,Intel,Others/No OS/Linux
3,Apple,Ultrabook,16,macOS,1.83,2537.45,NormalScreen,Yes,220.5346239,Intel Core i7,0,512,AMD,Mac
4,Apple,Ultrabook,8,macOS,1.37,1803.6,NormalScreen,Yes,226.9830047,Intel Core i5,0,256,Intel,Mac
5,Acer,Notebook,4,Windows 10,2.1,400.0,NormalScreen,No,100.4546699,AMD Processor,500,0,AMD,Windows
6,Apple,Ultrabook,16,Mac OS X,2.04,2139.97,NormalScreen,Yes,220.5346239,Intel Core i7,0,0,Intel,Mac
7,Apple,Ultrabook,8,macOS,1.34,1158.7,NormalScreen,No,127.6779401,Intel Core i5,0,0,Intel,Mac
8,Asus,Ultrabook,16,Windows 10,1.3,1495.0,NormalScreen,No,157.3505121,Intel Core i7,0,512,Nvidia,Windows
9,Acer,Ultrabook,8,Windows 10,1.6,770.0,NormalScreen,Yes,157.3505121,Intel Core i5,0,256,Intel,Windows
10,HP,Notebook,4,No OS,1.86,393.9,NormalScreen,No,100.4546699,Intel Core i5,500,0,Intel,Others/No OS/Linux
11,HP,Notebook,4,No OS,1.86,344.99,NormalScreen,No,141.2119981,Intel Core i3,500,0,Intel,Others/No OS/Linux
12,Apple,Ultrabook,16,macOS,1.83,2439.97,NormalScreen,Yes,220.5346239,Intel Core i7,0,256,AMD,Mac
13,Dell,Notebook,4,Windows 10,2.2,498.9,NormalScreen,No,141.2119981,Intel Core i3,0,256,AMD,Windows
14,Apple,Ultrabook,8,macOS,0.92,1262.4,NormalScreen,Yes,226.4155472,Other Intel Processor,0,256,Intel,Mac
15,Apple,Ultrabook,8,macOS,1.37,1518.55,NormalScreen,Yes,226.9830047,Intel Core i5,0,256,Intel,Mac
16,Dell,Notebook,8,Windows 10,2.2,745.0,NormalScreen,No,141.2119981,Intel Core i7,0,256,AMD,Windows
17,Apple,Ultrabook,16,macOS,1.83,2858.0,NormalScreen,Yes,220.5346239,Intel Core i7,0,512,AMD,Mac
18,Lenovo,Notebook,8,No OS,2.2,499.0,NormalScreen,No,141.2119981,Intel Core i3,1000,0,Nvidia,Others/No OS/Linux
19,Dell,Ultrabook,8,Windows 10,1.22,979.0,TouchScreen,Yes,165.6321181,Intel Core i5,0,128,Intel,Windows
20,Asus,Netbook,2,Windows 10,0.98,191.9,NormalScreen,No,135.0942112,Other Intel Processor,0,0,Intel,Windows
21,Lenovo,Gaming,8,Windows 10,2.5,999.0,NormalScreen,Yes,141.2119981,Intel Core i5,1000,128,Nvidia,Windows
22,HP,Notebook,4,No OS,1.86,258.0,NormalScreen,No,100.4546699,AMD Processor,500,0,AMD,Others/No OS/Linux
23,Dell,2 in 1 Convertible,8,Windows 10,1.62,819.0,TouchScreen,No,165.6321181,Intel Core i5,0,256,Intel,Windows
24,HP,Ultrabook,8,Windows 10,1.91,659.0,NormalScreen,No,141.2119981,Intel Core i7,0,256,Intel,Windows
25,Dell,Notebook,4,Windows 10,2.3,418.64,NormalScreen,No,100.4546699,Intel Core i3,1000,0,Intel,Windows
26,Apple,Ultrabook,8,Mac OS X,1.35,1099.0,NormalScreen,No,127.6779401,Intel Core i5,0,0,Intel,Mac
27,Dell,Notebook,8,Windows 10,2.2,800.0,NormalScreen,No,141.2119981,Intel Core i5,0,256,AMD,Windows
28,Dell,Ultrabook,8,Windows 10,1.88,1298.0,NormalScreen,No,141.2119981,Intel Core i7,0,512,Intel,Windows
29,HP,Notebook,8,Windows 10,2.5,896.0,NormalScreen,No,127.3356746,Intel Core i5,1000,0,Nvidia,Windows
30,Chuwi,Notebook,4,Windows 10,1.89,244.99,NormalScreen,No,141.2119981,Other Intel Processor,0,0,Intel,Windows
31,Asus,Notebook,2,Windows 10,1.65,199.0,NormalScreen,No,111.9352036,AMD Processor,0,0,AMD,Windows
32,HP,Notebook,4,Windows 10,2.71,439.0,NormalScreen,No,127.3356746,AMD Processor,500,0,AMD,Windows
33,Dell,Ultrabook,16,Windows 10,1.2,1869.0,TouchScreen,No,276.0535301,Intel Core i7,0,512,Intel,Windows
34,Apple,Ultrabook,8,Mac OS X,1.35,998.0,NormalScreen,No,127.6779401,Intel Core i5,0,0,Intel,Mac
35,Lenovo,Notebook,4,Windows 10,1.44,249.0,NormalScreen,No,111.9352036,Other Intel Processor,0,0,Intel,Windows
36,Acer,Notebook,4,Linux,2.1,367.0,NormalScreen,No,100.4546699,Intel Core i3,1000,0,Intel,Others/No OS/Linux
37,Dell,Notebook,8,Windows 10,2.8,979.0,NormalScreen,Yes,127.3356746,Intel Core i5,1000,128,AMD,Windows
38,HP,Notebook,4,Windows 10,1.86,488.69,NormalScreen,No,100.4546699,Intel Core i5,1000,0,Intel,Windows
39,HP,Notebook,8,Windows 10,2.1,879.0,NormalScreen,No,141.2119981,Intel Core i5,0,256,Nvidia,Windows
40,Asus,Notebook,4,Linux,2.0,389.0,NormalScreen,No,141.2119981,Intel Core i3,1000,0,Intel,Others/No OS/Linux
41,Dell,Gaming,16,Windows 10,2.65,1499.0,NormalScreen,Yes,141.2119981,Intel Core i7,1000,256,Nvidia,Windows
42,Asus,Notebook,8,Linux,2.3,522.99,NormalScreen,No,100.4546699,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
43,Acer,Notebook,4,Windows 10,2.2,682.0,NormalScreen,Yes,141.2119981,Intel Core i5,0,256,Intel,Windows
44,Dell,2 in 1 Convertible,12,Windows 10,2.77,999.0,TouchScreen,No,127.3356746,Intel Core i5,1000,0,Nvidia,Windows
45,Apple,Ultrabook,8,macOS,1.37,1419.0,NormalScreen,Yes,226.9830047,Intel Core i5,0,256,Intel,Mac
46,Lenovo,Notebook,4,No OS,2.2,369.0,NormalScreen,No,100.4546699,Intel Core i3,0,128,Intel,Others/No OS/Linux
47,Asus,Gaming,8,Windows 10,3.2,1299.0,NormalScreen,No,127.3356746,AMD Processor,1000,256,AMD,Windows
48,Dell,Notebook,4,Windows 10,2.3,639.0,NormalScreen,No,141.2119981,Intel Core i5,0,256,AMD,Windows
49,Asus,Notebook,4,Windows 10,2.8,466.0,NormalScreen,No,90.58340172,Other Intel Processor,1000,0,Nvidia,Windows
50,Lenovo,2 in 1 Convertible,4,Android,0.69,319.0,TouchScreen,Yes,224.1738091,Other Intel Processor,0,0,Intel,Others/No OS/Linux
51,Acer,Notebook,8,Windows 10,2.2,841.0,NormalScreen,Yes,141.2119981,Intel Core i7,0,256,Nvidia,Windows
52,HP,Notebook,4,Windows 10,1.86,398.49,NormalScreen,No,141.2119981,AMD Processor,0,256,AMD,Windows
53,HP,Notebook,8,Windows 10,1.49,1103.0,NormalScreen,No,165.6321181,Intel Core i7,0,512,Intel,Windows
54,Acer,Notebook,4,Windows 10,2.4,384.0,NormalScreen,No,100.4546699,Intel Core i3,1000,0,Intel,Windows
55,Dell,Notebook,8,Windows 10,2.13,767.8,NormalScreen,No,141.2119981,Intel Core i7,0,256,AMD,Windows
56,HP,Notebook,4,Windows 10,1.91,439.0,NormalScreen,No,141.2119981,Intel Core i3,0,128,Intel,Windows
57,Asus,Notebook,4,Windows 10,2.0,586.19,NormalScreen,No,100.4546699,Intel Core i5,0,256,Intel,Windows
58,MSI,Gaming,16,Windows 10,2.43,2449.0,NormalScreen,No,127.3356746,Intel Core i7,2000,256,Nvidia,Windows
59,Asus,Notebook,4,Linux,2.0,415.0,NormalScreen,No,141.2119981,Intel Core i3,0,256,Intel,Others/No OS/Linux
60,Dell,Notebook,16,Windows 10,2.8,1299.0,NormalScreen,No,127.3356746,Intel Core i7,2000,256,AMD,Windows
61,Dell,Ultrabook,8,Windows 10,1.7,879.0,NormalScreen,No,157.3505121,Intel Core i5,0,256,Intel,Windows
62,Lenovo,Notebook,8,No OS,1.7,599.0,NormalScreen,Yes,157.3505121,Intel Core i3,0,256,Intel,Others/No OS/Linux
63,Asus,Notebook,8,Windows 10,1.4,941.0,NormalScreen,No,157.3505121,Intel Core i5,0,256,Intel,Windows
64,HP,Notebook,8,Windows 10,1.86,690.0,NormalScreen,No,141.2119981,Intel Core i5,0,256,Intel,Windows
65,Asus,Ultrabook,16,Windows 10,1.8,1983.0,NormalScreen,No,141.2119981,Intel Core i7,0,512,Nvidia,Windows
66,HP,Notebook,4,Windows 10,1.86,438.69,NormalScreen,No,100.4546699,Intel Core i3,500,0,AMD,Windows
67,HP,Notebook,4,Windows 10,1.44,229.0,NormalScreen,No,111.9352036,Other Intel Processor,0,32,Intel,Windows
68,Lenovo,Notebook,4,Windows 10,1.9,549.0,NormalScreen,No,141.2119981,Intel Core i5,1000,0,Intel,Windows
69,Asus,Gaming,12,Linux,3.0,949.0,NormalScreen,No,127.3356746,Intel Core i7,1000,0,Nvidia,Others/No OS/Linux
70,Microsoft,Ultrabook,4,Windows 10 S,1.252,1089.0,TouchScreen,No,200.8425599,Intel Core i5,0,128,Intel,Windows
71,Dell,Ultrabook,8,Windows 10,1.4,955.0,NormalScreen,Yes,165.6321181,Intel Core i7,0,256,AMD,Windows
72,Dell,Notebook,8,Windows 10,2.2,870.0,NormalScreen,No,141.2119981,Intel Core i7,0,256,AMD,Windows
73,MSI,Gaming,8,Windows 10,2.7,1095.0,NormalScreen,No,127.3356746,Intel Core i5,1000,128,Nvidia,Windows
74,Acer,Notebook,8,Windows 10,2.1,389.0,NormalScreen,No,111.9352036,Intel Core i3,1000,0,Intel,Windows
75,Asus,Gaming,8,Windows 10,2.2,949.0,NormalScreen,No,141.2119981,Intel Core i7,1000,0,Nvidia,Windows
76,Lenovo,Notebook,8,No OS,2.2,519.0,NormalScreen,No,141.2119981,Intel Core i5,2000,0,Intel,Others/No OS/Linux
77,Dell,Notebook,8,Windows 10,2.02,855.0,NormalScreen,No,141.2119981,Intel Core i7,1000,128,Intel,Windows
